SIREN,NOM,HAB,DEP
248000531,Allonville  ,768,80
248000531,Amiens  ,136545,80
248000531,Bertangles  ,662,80
248000531,Blangy-Tronville  ,583,80
248000531,Bovelles  ,437,80
248000531,Boves  ,3290,80
248000531,Cagny  ,1226,80
248000531,Camon  ,4478,80
248000531,Cardonnette  ,529,80
248000531,Clairy-Saulchoix  ,378,80
248000531,Creuse  ,195,80
248000531,Dreuil-lès-Amiens  ,1659,80
248000531,Dury  ,1520,80
248000531,Estrées-sur-Noye  ,274,80
248000531,Ferrières  ,487,80
248000531,Glisy  ,800,80
248000531,Grattepanche  ,322,80
248000531,Guignemicourt  ,394,80
248000531,Hébécourt  ,553,80
248000531,Longueau  ,5738,80
248000531,Pissy  ,289,80
248000531,Pont-de-Metz  ,2486,80
248000531,Poulainville  ,1246,80
248000531,Querrieu  ,660,80
248000531,Remiencourt  ,174,80
248000531,Revelles  ,512,80
248000531,Rivery  ,3610,80
248000531,Rumigny  ,631,80
248000531,Sains-en-Amiénois  ,1244,80
248000531,Saint-Fuscien  ,1266,80
248000531,Saint-Sauflieu  ,992,80
248000531,Saint-Vaast-en-Chaussée  ,499,80
248000531,Saleux  ,2856,80
248000531,Salouël  ,3974,80
248000531,Saveuse  ,950,80
248000531,Seux  ,168,80
248000531,Thézy-Glimont  ,672,80
248000531,Vaux-en-Amiénois  ,419,80
248000531,Vers-sur-Selle  ,742,80
200071223,Ailly-sur-Somme  ,3011,80
200071223,Argœuves,549,80
200071223,Belloy-sur-Somme  ,754,80
200071223,Berteaucourt-les-Dames  ,1146,80
200071223,Bettencourt-Saint-Ouen  ,623,80
200071223,Bouchon  ,161,80
200071223,Bourdon  ,382,80
200071223,Breilly  ,719,80
200071223,Canaples  ,711,80
200071223,Cavillon  ,105,80
200071223,Crouy-Saint-Pierre  ,345,80
200071223,Domart-en-Ponthieu  ,1085,80
200071223,Flixecourt  ,3279,80
200071223,Fourdrinoy  ,418,80
200071223,Franqueville  ,173,80
200071223,Fransu  ,182,80
200071223,Halloy-lès-Pernois  ,340,80
200071223,Hangest-sur-Somme  ,782,80
200071223,Havernas  ,392,80
200071223,L'Étoile  ,1198,80
200071223,La Chaussée-Tirancourt  ,663,80
200071223,Lanches-Saint-Hilaire  ,134,80
200071223,Le Mesge  ,174,80
200071223,Pernois  ,743,80
200071223,Picquigny  ,1333,80
200071223,Ribeaucourt  ,249,80
200071223,Saint-Léger-lès-Domart  ,1868,80
200071223,Saint-Ouen  ,1882,80
200071223,Saint-Sauveur  ,1372,80
200071223,Saisseval  ,240,80
200071223,Soues  ,128,80
200071223,Surcamps  ,66,80
200071223,Vauchelles-lès-Domart  ,126,80
200071223,Vignacourt  ,2388,80
200071223,Ville-le-Marclet  ,509,80
200071223,Yzeux  ,268,80
200071181,Airaines  ,2411,80
200071181,Allery  ,807,80
200071181,Andainville  ,263,80
200071181,Arguel  ,29,80
200071181,Aumâtre  ,183,80
200071181,Aumont  ,150,80
200071181,Avelesges  ,56,80
200071181,Avesnes-Chaussoy  ,66,80
200071181,Bacouel-sur-Selle  ,503,80
200071181,Beaucamps-le-Jeune  ,195,80
200071181,Beaucamps-le-Vieux  ,1441,80
200071181,Belleuse  ,345,80
200071181,Belloy-Saint-Léonard  ,93,80
200071181,Bergicourt  ,147,80
200071181,Bermesnil  ,219,80
200071181,Bettembos  ,108,80
200071181,Blangy-sous-Poix  ,181,80
200071181,Bosquel  ,341,80
200071181,Bougainville  ,444,80
200071181,Brassy  ,78,80
200071181,Briquemesnil-Floxicourt  ,297,80
200071181,Brocourt  ,100,80
200071181,Bussy-lès-Poix  ,104,80
200071181,Camps-en-Amiénois  ,190,80
200071181,Cannessières  ,68,80
200071181,Caulières  ,216,80
200071181,Cerisy-Buleux  ,270,80
200071181,Contre  ,154,80
200071181,Conty  ,1821,80
200071181,Courcelles-sous-Moyencourt  ,147,80
200071181,Courcelles-sous-Thoix  ,70,80
200071181,Croixrault  ,450,80
200071181,Dromesnil  ,89,80
200071181,Épaumesnil  ,128,80
200071181,Éplessier  ,358,80
200071181,Équennes-Éramecourt  ,298,80
200071181,Essertaux  ,264,80
200071181,Étréjust  ,43,80
200071181,Famechon  ,274,80
200071181,Fleury  ,220,80
200071181,Fluy  ,337,80
200071181,Fontaine-le-Sec  ,154,80
200071181,Forceville-en-Vimeu  ,243,80
200071181,Fossemanant  ,98,80
200071181,Foucaucourt-Hors-Nesle  ,81,80
200071181,Fourcigny  ,200,80
200071181,Framicourt  ,177,80
200071181,Frémontiers  ,157,80
200071181,Fresnes-Tilloloy  ,207,80
200071181,Fresneville  ,106,80
200071181,Fresnoy-Andainville  ,97,80
200071181,Fresnoy-au-Val  ,245,80
200071181,Frettecuisse  ,75,80
200071181,Fricamps  ,177,80
200071181,Gauville  ,351,80
200071181,Guizancourt  ,136,80
200071181,Hescamps  ,531,80
200071181,Heucourt-Croquoison  ,116,80
200071181,Hornoy-le-Bourg  ,1708,80
200071181,Inval-Boiron  ,114,80
200071181,Lachapelle  ,90,80
200071181,Lafresguimont-Saint-Martin  ,555,80
200071181,Laleu  ,112,80
200071181,Lamaronde  ,68,80
200071181,Le Mazis  ,107,80
200071181,Le Quesne  ,269,80
200071181,Le Translay  ,259,80
200071181,Lignières-Châtelain  ,370,80
200071181,Lignières-en-Vimeu  ,114,80
200071181,Liomer  ,399,80
200071181,Marlers  ,145,80
200071181,Meigneux  ,180,80
200071181,Méréaucourt  ,8,80
200071181,Méricourt-en-Vimeu  ,103,80
200071181,Métigny  ,121,80
200071181,Molliens-Dreuil  ,980,80
200071181,Monsures  ,229,80
200071181,Montagne-Fayel  ,146,80
200071181,Morvillers-Saint-Saturnin  ,407,80
200071181,Mouflières  ,91,80
200071181,Moyencourt-lès-Poix  ,183,80
