"";"site_id";"nature";"nom_prodcartofriches";"site_statut";"geom"
"1";"66092_1200";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.57426230514216, 42.7624565795885)
"2";"65034_9152";"MTE";"Friche étude Ademe 2021";"inconnu";c(0.309329486222627, 43.0131778589561)
"3";"25003_18824";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.43018101201218, 47.4965274485249)
"4";"59183_20177";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(2.36592305762142, 51.0349023641675)
"5";"65192_1525";"MTE";"Friche étude Ademe 2021";"inconnu";c(-0.0284245028436208, 42.7387130435393)
"6";"68298_8863";"MTE";"Friche étude Ademe 2021";"inconnu";c(7.10890436792013, 48.2316668344615)
"7";"08302_399";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(4.76930670783221, 49.887003038089)
"8";"97120_6364";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-61.5343805520153, 16.2414255858073)
"9";"2B088_1783";"MTE";"Friche étude Ademe 2021";"inconnu";c(9.48252146971522, 42.2973547189666)
"10";"62491_5486";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.76879453409555, 50.633061902042)
"11";"66160_14100";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.70484846682095, 42.4974438471638)
"12";"67423_12188";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(7.51542756041462, 48.7075666436702)
"13";"11245_1270";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.62747351598654, 42.8991050638283)
"14";"55181_7490";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(5.62750444256764, 49.2254219266447)
"15";"01453_17772";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(5.7217787490586, 45.945979542418)
"16";"66058_12630";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(2.72702742510481, 42.699213120073)
"17";"34229_6053";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(2.7917077572591, 43.503771823152)
"18";"43157_20207";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(3.88089310973085, 45.0448653333333)
"19";"59037_15953";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.39503689812765, 50.1938291642338)
"20";"12118_1257";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.63878876360755, 44.7353377831474)
"21";"65079_2219";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(0.318408951065023, 43.1529138890501)
"22";"27045_12050";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(1.75999127664357, 49.3574653362879)
"23";"65103_16178";"MTE";"Friche étude Ademe 2021";"inconnu";c(0.183053247673437, 43.306168997954)
"24";"2A004_1423";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(8.7962725817227, 41.9205198018691)
"25";"60388_10024";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.89313762951887, 49.5228792967308)
"26";"66046_2760";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.38932429985187, 42.8131519364461)
"27";"65040_13836";"MTE";"Friche étude Ademe 2021";"inconnu";c(-0.0577857073324801, 43.0712225290229)
"28";"2B205_1231";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(9.35600000771191, 42.6979142626079)
"29";"65239_14141";"MTE";"Friche étude Ademe 2021";"inconnu";c(0.34515496320783, 43.0273167446419)
"30";"2B185_1517";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(9.33677710325615, 42.6229390698795)
"31";"66083_6632";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.42877350576113, 42.7827298575903)
"32";"62108_10124";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.56885370953004, 50.4141040660611)
"33";"66169_12132";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.52161400926336, 42.7837885857163)
"34";"60506_10033";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.98694145696655, 49.569966317237)
"35";"83001_9182";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(6.84070316039568, 43.5569558897035)
"36";"64003_836";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(-0.644091747899141, 43.4021953402284)
"37";"57226_23566";"observatoire local";"EPF Grand Est";"friche sans projet";c(5.9858638145158, 49.3530706830625)
"38";"66098_14399";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.12387823920196, 42.5263287936839)
"39";"68182_17112";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(7.50151578841362, 47.5016551297863)
"40";"60315_7571";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.88721680462988, 49.4769782349937)
"41";"60383_8090";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.77685001711997, 49.5212555509133)
"42";"02095_15838";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.46170332103349, 49.9867601560326)
"43";"02053_9581";"MTE";"Friche étude Ademe 2021";"inconnu";c(3.63060211071575, 49.0401590605791)
"44";"02567_14732";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(4.009846757333, 49.9302419426871)
"45";"02145_15013";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.16638183779988, 49.6396305512498)
"46";"41074_12025";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(1.65903852362599, 47.5864538981266)
"47";"02408_21141";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(3.62136283864718, 49.5645710523323)
"48";"30142_16587";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(4.06242934652064, 44.2186217351513)
