site_id;nature;nom_prodcartofriches;site_id_ok;TEST
66092_1200;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;66092_1200;OK
65034_9152;MTE;Friche étude Ademe 2021;65034_9152;OK
25003_18824;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;25003_18824;OK
59183_20177;fond friche;Appel à projet Fonds Friches;59183_20177;OK
65192_1525;MTE;Friche étude Ademe 2021;65192_1525;OK
68298_8863;MTE;Friche étude Ademe 2021;68298_8863;OK
08302_399;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;08302_399;OK
97120_6364;fond friche;Appel à projet Fonds Friches;97120_6364;OK
2B088_1783;MTE;Friche étude Ademe 2021;2B088_1783;OK
62491_5486;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;62491_5486;OK
66160_14100;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;66160_14100;OK
67423_12188;fond friche;Appel à projet Fonds Friches;67423_12188;OK
11245_1270;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;11245_1270;OK
55181_7490;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;55181_7490;OK
01453_17772;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;01453_17772;OK
66058_12630;fond friche;Appel à projet Fonds Friches;66058_12630;OK
34229_6053;fond friche;Appel à projet Fonds Friches;34229_6053;OK
43157_20207;fond friche;Appel à projet Fonds Friches;43157_20207;OK
59037_15953;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59037_15953;OK
12118_1257;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;12118_1257;OK
65079_2219;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;65079_2219;OK
27045_12050;fond friche;Appel à projet Fonds Friches;27045_12050;OK
65103_16178;MTE;Friche étude Ademe 2021;65103_16178;OK
2A004_1423;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;2A004_1423;OK
60388_10024;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60388_10024;OK
66046_2760;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;66046_2760;OK
65040_13836;MTE;Friche étude Ademe 2021;65040_13836;OK
2B205_1231;fond friche;Appel à projet Fonds Friches;2B205_1231;OK
65239_14141;MTE;Friche étude Ademe 2021;65239_14141;OK
2B185_1517;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B185_1517;OK
66083_6632;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;66083_6632;OK
62108_10124;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;62108_10124;OK
66169_12132;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;66169_12132;OK
60506_10033;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60506_10033;OK
83001_9182;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;83001_9182;OK
64003_836;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;64003_836;OK
57226_23566;observatoire local;EPF Grand Est;57226_23566;OK
66098_14399;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;66098_14399;OK
68182_17112;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;68182_17112;OK
60315_7571;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60315_7571;OK
60383_8090;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60383_8090;OK
02095_15838;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;02095_15838;OK
02053_9581;MTE;Friche étude Ademe 2021;02053_9581;OK
02567_14732;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;02567_14732;OK
02145_15013;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;02145_15013;OK
41074_12025;fond friche;Appel à projet Fonds Friches;41074_12025;OK
02408_21141;fond friche;Appel à projet Fonds Friches;02408_21141;OK
30142_16587;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;30142_16587;OK
