"";"site_id";"nature";"nom_prodcartofriches";"site_statut";"geom"
"1";"01013_9130";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(5.51706696897107, 45.8807218999131)
"2";"11245_9118";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.62747351598654, 42.8991050638283)
"3";"37107_18379";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(0.883864160072017, 47.0052491073876)
"4";"63020_3372";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.93974836620305, 45.6850508179014)
"5";"59601_20139";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(4.1138693336843, 50.0584377040504)
"6";"49328_9017";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-0.0809906223117347, 47.254090570438)
"7";"39286_8199";"MTE";"Friche étude Ademe 2021";"inconnu";c(5.78063717897735, 46.3733123416043)
"8";"67462_19670";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(7.438550174443, 48.2524151488704)
"9";"62491_5486";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.76879453409555, 50.633061902042)
"10";"65034_9152";"MTE";"Friche étude Ademe 2021";"inconnu";c(0.309329486222627, 43.0131778589561)
"11";"67423_12188";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(7.51542756041462, 48.7075666436702)
"12";"11245_1270";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.62747351598654, 42.8991050638283)
"13";"16199_7927";"observatoire local";"Grand Angoulême";"inconnu";c(0.234170957480431, 45.6688536555461)
"14";"01453_17772";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(5.7217787490586, 45.945979542418)
"15";"41232_8405";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(2.04517149062616, 47.42643674611)
"16";"22031_1335";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.51885800955408, 48.3531298809881)
"17";"87047_9579";"Ademe";"Friche étude Ademe 2021, intéressante pour du PV au sol";"inconnu";c(1.31309141134926, 45.9980005558668)
"18";"24218_11929";"Ademe";"Friche étude Ademe 2021, intéressante pour du PV au sol";"inconnu";c(1.0851666835772, 45.5382135937335)
"19";"66058_12630";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(2.72702742510481, 42.699213120073)
