comm_insee;NOM_COM;Nb_log_pp_2022;Prop_logvac_pp_2A_010121
1004;Ambérieu-en-Bugey;5 922;3,1
1007;Ambronay;1 246;2,4
1010;Anglefort;589;4,6
1014;Arbent;1 157;4,7
1015;Arboys en Bugey;421;3,8
1017;Argis;323;9,9
1022;Artemare;661;4,4
1024;Attignat;1 387;2,5
1025;Bâgé-Dommartin;1 686;3,7
1026;Bâgé-le-Châtel;423;5
1029;Beaupont;317;6
1030;Beauregard;365;3,3
1031;Bellignat;1 022;5,4
1032;Béligneux;;
1033;Valserhône;6 977;6,1
1034;Belley;3 986;6,2
1035;Belleydoux;234;8,5
1036;Valromey-sur-Séran;975;6,1
1037;Bénonces;;
1041;Bettant;379;4,7
1043;Beynost;;
1044;Billiat;;
1049;La Boisse;1 303;1,7
1053;Bourg-en-Bresse;16 727;6,7
1057;Boz;;
1058;Brégnier-Cordon;423;5,9
1060;Brénod;351;9,4
1061;Brens;531;2,3
1064;Briord;492;3,9
1065;Buellas;764;2,5
1068;Cerdon;469;11,1
1069;Certines;;
1071;Cessy;2 227;4,2
1072;Ceyzériat;1 421;3,5
1073;Ceyzérieu;659;7,4
1074;Chalamont;1 005;2,1
1075;Chaleins;555;3,6
1078;Challex;754;3,2
1079;Champagne-en-Valromey;398;7,8
1080;Champdor-Corcelles;367;8,7
1081;Champfromier;;
1082;Chanay;327;15
1084;Chanoz-Châtenay;388;3,4
1092;Châtillon-la-Palud;760;2,1
1093;Châtillon-sur-Chalaronne;2 344;2,1
1094;Chavannes-sur-Reyssouze;376;6,4
1095;Nivigne et Suran;461;8,9
1098;Chazey-Bons;584;5,3
1099;Chazey-sur-Ain;752;2,1
1102;Chevroux;;
1103;Chevry;940;3,4
1104;Chézery-Forens;404;15,6
1105;Civrieux;;
1108;Coligny;666;9
1109;Collonges;954;4,4
1113;Condeissiat;;
1115;Confrançon;562;3,2
1116;Contrevoz;329;5,5
1118;Corbonod;698;8,6
1123;Cormoranche-sur-Saône;511;2,5
1124;Cormoz;386;5,7
1125;Corveissiat;379;10,8
1127;Courmangoux;288;7,3
1130;Bresse Vallons;965;3,9
1134;Crottet;779;2,7
1135;Crozet;1 024;4,7
1138;Culoz;1 566;6,2
1139;Curciat-Dongalon;275;11,3
1142;Dagneux;;
1143;Divonne-les-Bains;5 647;3,6
1145;Dompierre-sur-Veyle;520;4,4
1147;Domsure;;
1148;Dortan;754;3,4
1151;Druillat;612;3,3
1152;Échallon;459;8,7
1153;Échenevex;938;1,8
1158;Farges;507;4,1
1159;Feillens;1 621;5,6
1160;Ferney-Voltaire;5 365;2
1163;Foissiat;912;3,9
1173;Gex;5 617;3,3
1175;Gorrevod;;
1179;Grièges;824;1,3
1180;Grilly;473;3,2
1183;Guéreins;639;3,1
1184;Hautecourt-Romanèche;501;6,4
1185;Plateau d'Hauteville;2 653;11,9
1187;Haut Valromey;631;11,4
1189;Injoux-Génissiat;530;9,1
1192;Izernore;790;3,8
1194;Jassans-Riottier;2 093;0,8
1195;Jasseron;771;4,2
1196;Jayat;524;5,3
1199;Jujurieux;1 086;3,8
1202;Lagnieu;3 093;3,7
1203;Laiz;498;2,2
1204;Le Poizat-Lalleyriat;433;3
1209;Léaz;363;9,6
1210;Lélex;622;6,3
1211;Lent;644;4,5
1212;Lescheroux;338;7,1
1216;Lhuis;508;3,7
1224;Loyettes;1 361;1,9
1227;Magnieu;364;4,9
1228;Maillat;311;8
1229;Malafretaz;505;5,3
1231;Manziat;918;2,5
1232;Marboz;1 070;4,4
1235;Marlieux;433;3,9
1236;Marsonnas;490;7,3
1237;Martignat;605;4
1239;Massignieu-de-Rives;;
1240;Matafelon-Granges;408;6,1
1241;Meillonnas;617;2,3
1244;Meximieux;3 089;2
1245;Bohas-Meyriat-Rignat;501;4,8
1246;Mézériat;889;3,9
1247;Mijoux;672;8,8
1248;Mionnay;;
1249;Miribel;3 893;2
1252;Mogneneins;386;4,4
1254;Montagnat;826;1,9
1258;Montceaux;;
1262;Montluel;2 738;1,2
1263;Montmerle-sur-Saône;1 729;1,1
1265;Montréal-la-Cluse;1 181;5,4
1266;Montrevel-en-Bresse;1 189;3,3
1267;Nurieux-Volognat;440;4,8
1269;Nantua;1 636;16,2
1272;Neuville-les-Dames;745;5,8
1273;Neuville-sur-Ain;867;5,1
1274;Les Neyrolles;;
1275;Neyron;1 019;1,2
1281;Ornex;2 014;1,5
1282;Outriaz;;
1283;Oyonnax;7 203;8,3
1284;Ozan;;
1286;Parves et Nattages;521;5
1288;Péron;1 357;5,5
1289;Péronnas;2 526;3,2
1290;Pérouges;645;1,7
1294;Peyrieu;428;7,5
1296;Pirajoux;;
1301;Polliat;1 181;3,5
1303;Poncin;901;7,4
1304;Pont-d'Ain;1 390;6,1
1305;Pont-de-Vaux;1 223;7,5
1306;Pont-de-Veyle;728;5,8
1307;Port;325;4,6
1308;Pougny;412;6,1
1313;Prévessin-Moëns;4 062;2,1
1314;Priay;861;1,7
